user_id,date,amount,description,category,payment_mode
15,2022-01-02,1005.85,gas cylinder booking,Utilities,UPI
12,2022-01-02,505.08,MedPlus medicines,Healthcare,Debit Card
14,2022-01-02,734.68,Udemy course,Education,Debit Card
8,2022-01-02,3812.59,Air India ticket,Travel,UPI
19,2022-01-02,3379.64,mutual fund SIP HDFC,Investments,Debit Card
11,2022-01-02,1947.31,gift purchase,Miscellaneous,Net Banking
10,2022-01-02,361.8,eye checkup,Healthcare,Net Banking
12,2022-01-02,370.49,McDonald's,Food,Cash
8,2022-01-02,944.87,unknown merchant,Miscellaneous,Debit Card
9,2022-01-02,3123.26,Goibibo trip,Travel,Net Banking
17,2022-01-02,179.0,Amazon Prime,Entertainment,Cash
14,2022-01-02,111.1,auto rickshaw,Transport,Cash
19,2022-01-02,605.46,Decathlon sports,Shopping,UPI
17,2022-01-02,210.33,Blinkit order,Shopping,Net Banking
15,2022-01-02,550.84,vitamin supplements,Healthcare,UPI
14,2022-01-02,1500.04,BigBasket order,Shopping,UPI
18,2022-01-02,287.79,eye checkup,Healthcare,UPI
10,2022-01-02,405.27,Netflix subscription,Entertainment,UPI
14,2022-01-02,75.8,Rapido bike,Transport,UPI
6,2022-01-02,396.12,biryani house,Food,Net Banking
16,2022-01-02,4658.58,Airbnb stay,Travel,Net Banking
5,2022-01-02,240.17,MedPlus medicines,Healthcare,UPI
6,2022-01-02,3015.27,Goibibo trip,Travel,UPI
7,2022-01-02,1803.76,mobile repair,Miscellaneous,Cash
6,2022-01-02,84.16,newspaper subscription,Miscellaneous,Credit Card
1,2022-01-02,1613.61,BigBasket order,Shopping,Debit Card
15,2022-01-02,77.52,parking charges,Transport,Debit Card
12,2022-01-03,343.14,BWSSB water bill,Utilities,Credit Card
13,2022-01-03,2937.73,OYO hotel booking,Travel,UPI
15,2022-01-03,705.28,diagnostic lab test,Healthcare,Credit Card
20,2022-01-03,334.53,Hotstar subscription,Entertainment,Cash
11,2022-01-03,2698.5,Manipal Hospital bill,Healthcare,Net Banking
8,2022-01-03,1836.22,Myntra clothes,Shopping,UPI
10,2022-01-03,3118.87,Groww SIP,Investments,Credit Card
2,2022-01-03,43.39,parking charges,Transport,Debit Card
13,2022-01-03,361.24,INOX ticket,Entertainment,Credit Card
7,2022-01-03,449.58,metro card recharge,Transport,Net Banking
10,2022-01-03,1692.82,IRCTC train ticket,Transport,Credit Card
19,2022-01-03,4975.68,coaching institute fee,Education,Cash
19,2022-01-03,255.42,PVR movie ticket,Entertainment,Net Banking
4,2022-01-03,479.01,Practo consultation,Healthcare,Debit Card
10,2022-01-03,235.74,INOX ticket,Entertainment,Net Banking
2,2022-01-03,1632.52,IRCTC train ticket,Transport,Debit Card
19,2022-01-03,357.64,Netflix subscription,Entertainment,Net Banking
20,2022-01-03,1272.67,travel insurance,Travel,Credit Card
2,2022-01-03,408.64,haircut salon,Miscellaneous,Debit Card
14,2022-01-03,117.29,Café Coffee Day,Food,Credit Card
3,2022-01-03,2576.39,MakeMyTrip hotel,Travel,Cash
8,2022-01-03,226.81,BMTC bus pass,Transport,Net Banking
15,2022-01-03,1956.44,BESCOM electricity bill,Utilities,Debit Card
2,2022-01-03,447.4,BMTC bus pass,Transport,Credit Card
4,2022-01-03,1144.57,Unacademy subscription,Education,Debit Card
15,2022-01-03,245.45,Namma Yatri ride,Transport,Cash
12,2022-01-03,157.1,biryani house,Food,Cash
1,2022-01-03,448.44,vitamin supplements,Healthcare,Net Banking
20,2022-01-03,247.61,BMTC bus pass,Transport,UPI
4,2022-01-03,810.73,IRCTC train ticket,Transport,Debit Card
18,2022-01-03,304.6,biryani house,Food,Credit Card
16,2022-01-03,293.31,Jio recharge,Utilities,Cash
5,2022-01-03,517.35,INOX ticket,Entertainment,Net Banking
9,2022-01-03,269.65,metro card recharge,Transport,Debit Card
10,2022-01-04,444.92,McDonald's,Food,UPI
12,2022-01-04,451.02,Meesho order,Shopping,Net Banking
13,2022-01-04,119.0,Spotify premium,Entertainment,Net Banking
20,2022-01-04,6702.52,Airbnb stay,Travel,Debit Card
12,2022-01-04,346.27,Myntra clothes,Shopping,UPI
4,2022-01-04,1950.17,diagnostic lab test,Healthcare,Credit Card
12,2022-01-04,179.0,Amazon Prime,Entertainment,Net Banking
12,2022-01-04,72.96,Rapido bike,Transport,Debit Card
13,2022-01-04,66.18,Rapido bike,Transport,Cash
13,2022-01-04,1570.56,Decathlon sports,Shopping,Cash
18,2022-01-04,133.19,stationery Natraj,Education,Credit Card
16,2022-01-04,4142.16,IndiGo flight,Travel,Cash
5,2022-01-04,20.68,tea and snacks,Food,Net Banking
17,2022-01-04,111.8,Ola cab,Transport,Credit Card
2,2022-01-04,1764.48,BESCOM electricity bill,Utilities,UPI
19,2022-01-04,179.22,Jio recharge,Utilities,UPI
19,2022-01-04,867.92,Coursera subscription,Education,Credit Card
3,2022-01-04,579.17,BMTC bus pass,Transport,Net Banking
16,2022-01-04,283.59,gaming café,Entertainment,UPI
3,2022-01-04,33499.52,fixed deposit SBI,Investments,Cash
7,2022-01-04,275.51,PVR movie ticket,Entertainment,Debit Card
8,2022-01-04,951.47,gas cylinder booking,Utilities,Debit Card
20,2022-01-04,2292.35,IndiGo flight,Travel,UPI
12,2022-01-04,557.83,Blinkit order,Shopping,UPI
15,2022-01-04,438.71,donation charity,Miscellaneous,Cash
3,2022-01-04,158.44,gaming café,Entertainment,Credit Card
19,2022-01-04,8282.6,Air India ticket,Travel,UPI
20,2022-01-04,380.92,BMTC bus pass,Transport,Net Banking
4,2022-01-04,2277.44,college mess fee,Food,Cash
15,2022-01-04,1865.32,mutual fund SIP HDFC,Investments,Net Banking
14,2022-01-04,334.29,haircut salon,Miscellaneous,Cash
2,2022-01-04,470.91,Meesho order,Shopping,Credit Card
7,2022-01-04,76.55,tea and snacks,Food,Net Banking
11,2022-01-04,8033.55,IndiGo flight,Travel,UPI
20,2022-01-04,522.78,Jio recharge,Utilities,Debit Card
2,2022-01-04,518.1,Swiggy order,Food,Net Banking
6,2022-01-04,136.86,biryani house,Food,Cash
18,2022-01-04,119.0,Spotify premium,Entertainment,Debit Card
10,2022-01-04,194.33,INOX ticket,Entertainment,UPI
13,2022-01-04,387.85,eye checkup,Healthcare,Net Banking
14,2022-01-04,449.25,eye checkup,Healthcare,Credit Card
8,2022-01-04,348.62,Meesho order,Shopping,Net Banking
7,2022-01-04,708.29,petrol HP pump,Transport,UPI
20,2022-01-04,2285.56,NPS contribution,Investments,Credit Card
4,2022-01-04,681.58,gift purchase,Miscellaneous,Cash
17,2022-01-04,686.14,BSNL broadband,Utilities,Debit Card
6,2022-01-04,141.11,auto rickshaw,Transport,Cash
9,2022-01-04,575.12,BSNL broadband,Utilities,Credit Card
5,2022-01-04,525.65,Airtel postpaid,Utilities,Credit Card
19,2022-01-04,649.87,Ajio fashion,Shopping,Debit Card
8,2022-01-04,346.62,Ola cab,Transport,UPI
10,2022-01-05,4118.01,LIC premium,Investments,Net Banking
1,2022-01-05,1290.78,Manipal Hospital bill,Healthcare,UPI
19,2022-01-05,1520.08,exam fee,Education,Cash
17,2022-01-05,129.19,haircut salon,Miscellaneous,Cash
16,2022-01-05,1332.23,ATM withdrawal,Miscellaneous,Credit Card
13,2022-01-05,1203.87,BigBasket order,Shopping,UPI
19,2022-01-05,195.95,metro card recharge,Transport,UPI
18,2022-01-05,1549.52,IRCTC train ticket,Transport,UPI
2,2022-01-05,14762.7,Air India ticket,Travel,UPI
13,2022-01-05,1817.96,petrol HP pump,Transport,UPI
7,2022-01-05,921.02,BESCOM electricity bill,Utilities,Net Banking
17,2022-01-05,1709.82,Steam game purchase,Entertainment,UPI
5,2022-01-05,345.27,vitamin supplements,Healthcare,Credit Card
16,2022-01-05,273.6,Practo consultation,Healthcare,Cash
9,2022-01-05,44014.49,gold purchase,Investments,Debit Card
14,2022-01-05,137.35,BWSSB water bill,Utilities,UPI
5,2022-01-05,9027.41,IndiGo flight,Travel,Net Banking
1,2022-01-05,124.04,laundry service,Miscellaneous,Cash
11,2022-01-05,685.47,exam fee,Education,Cash
12,2022-01-05,353.56,Zomato delivery,Food,Debit Card
13,2022-01-05,735.63,Unacademy subscription,Education,UPI
12,2022-01-05,2835.67,IndiGo flight,Travel,UPI
5,2022-01-05,232.93,McDonald's,Food,Cash
6,2022-01-05,678.23,donation charity,Miscellaneous,UPI
15,2022-01-05,434.95,eye checkup,Healthcare,Credit Card
20,2022-01-05,1028.5,gas cylinder booking,Utilities,Debit Card
19,2022-01-05,1409.85,NPS contribution,Investments,Net Banking
12,2022-01-05,495.52,IRCTC train ticket,Transport,Net Banking
7,2022-01-05,527.02,INOX ticket,Entertainment,Debit Card
12,2022-01-05,332.82,donation charity,Miscellaneous,Net Banking
11,2022-01-05,6891.04,Zerodha brokerage,Investments,UPI
4,2022-01-05,1040.17,Unacademy subscription,Education,Credit Card
16,2022-01-05,291.93,mobile repair,Miscellaneous,UPI
7,2022-01-05,815.6,train travel IRCTC,Travel,UPI
12,2022-01-05,806.51,travel insurance,Travel,Cash
14,2022-01-05,228.39,eye checkup,Healthcare,UPI
10,2022-01-05,1232.59,Udemy course,Education,UPI
3,2022-01-05,7195.35,Air India ticket,Travel,UPI
2,2022-01-05,167.44,local restaurant bill,Food,Debit Card
7,2022-01-05,1875.41,OYO hotel booking,Travel,Net Banking
10,2022-01-05,334.39,biryani house,Food,UPI
16,2022-01-05,3813.07,IndiGo flight,Travel,Cash
9,2022-01-05,1168.21,Steam game purchase,Entertainment,Credit Card
8,2022-01-05,492.68,MedPlus medicines,Healthcare,Credit Card
16,2022-01-05,1407.56,Coursera subscription,Education,Cash
9,2022-01-05,770.65,ACT Fibernet,Utilities,Credit Card
14,2022-01-05,296.25,eye checkup,Healthcare,Net Banking
12,2022-01-05,3834.94,MakeMyTrip hotel,Travel,Debit Card
7,2022-01-05,217.95,MedPlus medicines,Healthcare,Debit Card
3,2022-01-05,634.43,donation charity,Miscellaneous,UPI
9,2022-01-05,656.74,BSNL broadband,Utilities,UPI
9,2022-01-05,1701.88,Manipal Hospital bill,Healthcare,Net Banking
16,2022-01-05,780.36,donation charity,Miscellaneous,Debit Card
8,2022-01-06,222.52,Practo consultation,Healthcare,Cash
7,2022-01-06,466.52,INOX ticket,Entertainment,Debit Card
19,2022-01-06,496.31,BMTC bus pass,Transport,UPI
18,2022-01-06,6207.8,fixed deposit SBI,Investments,Credit Card
19,2022-01-06,179.0,Amazon Prime,Entertainment,Credit Card
4,2022-01-06,1138.79,dental clinic,Healthcare,UPI
11,2022-01-06,774.37,Airtel postpaid,Utilities,Net Banking
4,2022-01-06,423.31,INOX ticket,Entertainment,Cash
8,2022-01-06,3433.66,Zerodha brokerage,Investments,Debit Card
6,2022-01-06,1753.43,OYO hotel booking,Travel,Cash
2,2022-01-06,1722.7,Unacademy subscription,Education,Net Banking
17,2022-01-06,387.93,Ola cab,Transport,Cash
8,2022-01-06,81.51,Haldiram snacks,Food,Debit Card
5,2022-01-06,454.56,Zomato delivery,Food,Credit Card
19,2022-01-06,192.99,Ola cab,Transport,Cash
10,2022-01-06,1425.23,Apollo pharmacy,Healthcare,Debit Card
14,2022-01-06,357.27,haircut salon,Miscellaneous,Cash
16,2022-01-06,5799.73,Airbnb stay,Travel,Credit Card
1,2022-01-06,811.85,Myntra clothes,Shopping,Debit Card
19,2022-01-06,340.27,travel insurance,Travel,Net Banking
20,2022-01-06,2184.48,NPS contribution,Investments,Debit Card
14,2022-01-06,489.87,Hotstar subscription,Entertainment,Net Banking
19,2022-01-06,529.42,PVR movie ticket,Entertainment,UPI
5,2022-01-06,2246.63,Unacademy subscription,Education,Credit Card
12,2022-01-06,89.16,newspaper subscription,Miscellaneous,UPI
16,2022-01-06,1339.28,Unacademy subscription,Education,Debit Card
7,2022-01-06,241.54,Namma Yatri ride,Transport,Credit Card
12,2022-01-06,1943.08,Unacademy subscription,Education,Credit Card
17,2022-01-06,887.7,Barbeque Nation,Food,Credit Card
8,2022-01-06,29539.85,gold purchase,Investments,Cash
7,2022-01-06,805.19,BigBasket order,Shopping,Credit Card
20,2022-01-06,4927.89,PPF deposit,Investments,Cash
9,2022-01-06,158.49,laundry service,Miscellaneous,Net Banking
7,2022-01-06,1073.6,BESCOM electricity bill,Utilities,UPI
16,2022-01-06,679.08,ACT Fibernet,Utilities,Credit Card
5,2022-01-06,6552.01,LIC premium,Investments,UPI
11,2022-01-06,242.43,Ola cab,Transport,Debit Card
10,2022-01-06,7403.93,Zerodha brokerage,Investments,UPI
3,2022-01-06,514.51,Pizza Hut,Food,Net Banking
7,2022-01-06,66.6,Namma Yatri ride,Transport,Net Banking
19,2022-01-06,818.64,mobile repair,Miscellaneous,Net Banking
17,2022-01-06,7559.4,Zerodha brokerage,Investments,Debit Card
19,2022-01-06,2328.99,ATM withdrawal,Miscellaneous,Net Banking
1,2022-01-06,819.24,unknown merchant,Miscellaneous,Net Banking
19,2022-01-06,3831.95,BBMP property tax,Utilities,Net Banking
19,2022-01-06,1882.3,Unacademy subscription,Education,UPI
19,2022-01-06,439.71,Nykaa cosmetics,Shopping,Cash
15,2022-01-07,755.35,Udemy course,Education,Credit Card
7,2022-01-07,1105.39,train travel IRCTC,Travel,Debit Card
12,2022-01-07,67.26,canteen lunch,Food,Debit Card
16,2022-01-07,263.61,textbook Amazon,Education,Cash
11,2022-01-07,236.74,Jio recharge,Utilities,UPI
20,2022-01-07,2371.77,Manipal Hospital bill,Healthcare,Debit Card
1,2022-01-07,115.4,newspaper subscription,Miscellaneous,Net Banking
4,2022-01-07,1458.11,Apollo pharmacy,Healthcare,Cash
5,2022-01-07,935.9,gas cylinder booking,Utilities,Cash
16,2022-01-07,119.0,Spotify premium,Entertainment,Cash
3,2022-01-07,5023.42,IndiGo flight,Travel,Net Banking
10,2022-01-07,450.44,INOX ticket,Entertainment,Net Banking
9,2022-01-07,298.74,Meesho order,Shopping,UPI
14,2022-01-07,539.29,travel insurance,Travel,Cash
15,2022-01-07,1328.32,Flipkart order,Shopping,Cash
18,2022-01-07,577.77,Nykaa cosmetics,Shopping,Cash
16,2022-01-07,758.09,Airtel postpaid,Utilities,Debit Card
13,2022-01-07,503.34,Nykaa cosmetics,Shopping,UPI
17,2022-01-07,311.63,Swiggy order,Food,Credit Card
2,2022-01-07,1006.91,OYO hotel booking,Travel,Net Banking
12,2022-01-07,1737.16,BBMP property tax,Utilities,Net Banking
19,2022-01-07,584.47,Jio recharge,Utilities,Credit Card
16,2022-01-07,2442.19,Manipal Hospital bill,Healthcare,Credit Card
7,2022-01-07,406.78,MedPlus medicines,Healthcare,Net Banking
13,2022-01-07,668.45,KFC bucket,Food,Net Banking
6,2022-01-07,821.71,gas cylinder booking,Utilities,Debit Card
19,2022-01-07,1599.21,mobile repair,Miscellaneous,Credit Card
20,2022-01-07,42053.23,college fee,Education,Net Banking
19,2022-01-07,1037.14,textbook Amazon,Education,Net Banking
2,2022-01-07,74.8,Rapido bike,Transport,Net Banking
20,2022-01-07,1461.62,mobile repair,Miscellaneous,Net Banking
1,2022-01-07,421.63,Uber ride,Transport,Debit Card
11,2022-01-07,827.57,doctor consultation,Healthcare,Net Banking
19,2022-01-07,104.41,Rapido bike,Transport,Credit Card
13,2022-01-07,2846.91,ATM withdrawal,Miscellaneous,Credit Card
17,2022-01-07,2487.53,Ajio fashion,Shopping,Cash
5,2022-01-07,248.82,Haldiram snacks,Food,Credit Card
9,2022-01-07,148.15,auto rickshaw,Transport,Debit Card
16,2022-01-07,426.81,INOX ticket,Entertainment,Credit Card
7,2022-01-07,1719.51,Ajio fashion,Shopping,Debit Card
3,2022-01-07,38.1,parking charges,Transport,Net Banking
3,2022-01-07,9453.39,PPF deposit,Investments,UPI
6,2022-01-07,30905.55,fixed deposit SBI,Investments,UPI
1,2022-01-07,9077.04,PPF deposit,Investments,Cash
2,2022-01-07,563.52,Coursera subscription,Education,Credit Card
7,2022-01-07,348.34,haircut salon,Miscellaneous,UPI
7,2022-01-07,10923.91,fixed deposit SBI,Investments,UPI
15,2022-01-07,541.12,Udemy course,Education,Net Banking
15,2022-01-07,1664.88,Coursera subscription,Education,Cash
18,2022-01-07,33384.3,college fee,Education,UPI
5,2022-01-07,3139.23,Zerodha brokerage,Investments,Debit Card
11,2022-01-07,341.63,Practo consultation,Healthcare,Cash
16,2022-01-07,2823.99,Goibibo trip,Travel,UPI
12,2022-01-07,544.39,Jio recharge,Utilities,UPI
17,2022-01-07,216.07,Haldiram snacks,Food,Credit Card
2,2022-01-07,30957.28,gold purchase,Investments,Debit Card
5,2022-01-08,2576.96,mutual fund SIP HDFC,Investments,Net Banking
16,2022-01-08,1302.66,Barbeque Nation,Food,Credit Card
1,2022-01-08,811.44,doctor consultation,Healthcare,UPI
16,2022-01-08,2112.75,LIC premium,Investments,Net Banking
3,2022-01-08,437.73,haircut salon,Miscellaneous,Net Banking
20,2022-01-08,686.54,Udemy course,Education,Debit Card
13,2022-01-08,227.44,Domino's pizza,Food,Cash
6,2022-01-08,1265.67,travel insurance,Travel,Net Banking
13,2022-01-08,160.36,BWSSB water bill,Utilities,Cash
9,2022-01-08,832.33,ACT Fibernet,Utilities,Debit Card
14,2022-01-08,71.98,tea and snacks,Food,Credit Card
5,2022-01-08,57.04,parking charges,Transport,Credit Card
11,2022-01-08,7893.14,Airbnb stay,Travel,UPI
10,2022-01-08,489.4,eye checkup,Healthcare,Debit Card
8,2022-01-08,1441.72,IRCTC train ticket,Transport,UPI
18,2022-01-08,3625.45,train travel IRCTC,Travel,UPI
1,2022-01-08,4629.83,ATM withdrawal,Miscellaneous,UPI
7,2022-01-08,45.86,notebook purchase,Education,Cash
6,2022-01-08,73.56,Namma Yatri ride,Transport,Cash
11,2022-01-08,150.38,Haldiram snacks,Food,Credit Card
13,2022-01-08,409.19,Airtel postpaid,Utilities,Debit Card
12,2022-01-08,371.32,Practo consultation,Healthcare,Net Banking
12,2022-01-08,227.13,unknown merchant,Miscellaneous,Credit Card
14,2022-01-08,6534.43,PPF deposit,Investments,Credit Card
19,2022-01-08,286.55,Jio recharge,Utilities,Net Banking
5,2022-01-08,678.33,vitamin supplements,Healthcare,Cash
5,2022-01-08,1497.55,BookMyShow event,Entertainment,Net Banking
20,2022-01-08,7140.48,coaching institute fee,Education,UPI
14,2022-01-08,2540.67,college mess fee,Food,Credit Card
4,2022-01-08,855.9,Hotstar subscription,Entertainment,Credit Card
11,2022-01-08,5575.17,LIC premium,Investments,Debit Card
7,2022-01-08,226.28,eye checkup,Healthcare,Cash
8,2022-01-08,355.66,gift purchase,Miscellaneous,Cash
18,2022-01-08,2624.31,Decathlon sports,Shopping,UPI
8,2022-01-08,256.67,Café Coffee Day,Food,Credit Card
12,2022-01-08,36.71,auto rickshaw,Transport,UPI
4,2022-01-08,430.02,BESCOM electricity bill,Utilities,Debit Card
10,2022-01-08,894.33,Myntra clothes,Shopping,Net Banking
20,2022-01-08,1240.15,Unacademy subscription,Education,Cash
13,2022-01-08,181.03,local restaurant bill,Food,Net Banking
14,2022-01-08,123.71,stationery Natraj,Education,Net Banking
11,2022-01-08,4220.48,Zerodha brokerage,Investments,Credit Card
7,2022-01-08,938.95,travel insurance,Travel,UPI
12,2022-01-08,1293.31,mobile repair,Miscellaneous,Cash
18,2022-01-08,6947.44,LIC premium,Investments,Debit Card
10,2022-01-08,158.11,newspaper subscription,Miscellaneous,Net Banking
15,2022-01-08,1216.19,NPS contribution,Investments,UPI
15,2022-01-09,967.47,donation charity,Miscellaneous,Net Banking
19,2022-01-09,399.4,gaming café,Entertainment,Net Banking
17,2022-01-09,6156.55,IndiGo flight,Travel,Debit Card
15,2022-01-09,853.4,Coursera subscription,Education,UPI
2,2022-01-09,765.84,doctor consultation,Healthcare,Debit Card
3,2022-01-09,453.26,BSNL broadband,Utilities,UPI
8,2022-01-09,65.6,parking charges,Transport,Credit Card
5,2022-01-09,33210.35,fixed deposit SBI,Investments,Cash
5,2022-01-09,1364.4,Myntra clothes,Shopping,Net Banking
9,2022-01-09,2000.88,BBMP property tax,Utilities,Net Banking
15,2022-01-09,2895.83,mutual fund SIP HDFC,Investments,Debit Card
17,2022-01-09,693.0,doctor consultation,Healthcare,UPI
13,2022-01-09,4929.04,ATM withdrawal,Miscellaneous,Debit Card
8,2022-01-09,329.87,biryani house,Food,Credit Card
6,2022-01-09,619.55,doctor consultation,Healthcare,Cash
5,2022-01-09,37.94,notebook purchase,Education,Debit Card
20,2022-01-09,8703.86,LIC premium,Investments,Debit Card
15,2022-01-09,1483.13,Amazon purchase,Shopping,Cash
10,2022-01-09,119.0,Spotify premium,Entertainment,Debit Card
16,2022-01-09,1981.75,Amazon purchase,Shopping,Cash
6,2022-01-09,438.33,travel insurance,Travel,Debit Card
7,2022-01-09,200.64,gaming café,Entertainment,Cash
3,2022-01-09,150.55,laundry service,Miscellaneous,Credit Card
2,2022-01-09,1452.35,train travel IRCTC,Travel,Debit Card
20,2022-01-09,1572.1,Myntra clothes,Shopping,Credit Card
13,2022-01-09,2948.88,Manipal Hospital bill,Healthcare,Cash
5,2022-01-09,1745.58,Groww SIP,Investments,Cash
12,2022-01-09,413.3,BookMyShow event,Entertainment,UPI
6,2022-01-09,318.49,doctor consultation,Healthcare,Cash
11,2022-01-09,7226.67,Zerodha brokerage,Investments,Net Banking
20,2022-01-09,1058.88,Myntra clothes,Shopping,Credit Card
10,2022-01-09,23090.03,fixed deposit SBI,Investments,Net Banking
6,2022-01-09,1154.03,BESCOM electricity bill,Utilities,Cash
6,2022-01-09,608.85,Amazon purchase,Shopping,Debit Card
13,2022-01-09,138.57,notebook purchase,Education,Net Banking
9,2022-01-09,348.72,Swiggy order,Food,Credit Card
5,2022-01-09,52.29,stationery Natraj,Education,Cash
4,2022-01-09,97.71,toll payment fastag,Transport,Debit Card
17,2022-01-09,2457.29,train travel IRCTC,Travel,Credit Card
11,2022-01-09,6232.12,Airbnb stay,Travel,Credit Card
12,2022-01-09,483.21,Swiggy order,Food,UPI
15,2022-01-09,2906.67,OYO hotel booking,Travel,UPI
17,2022-01-09,25170.82,fixed deposit SBI,Investments,Credit Card
7,2022-01-09,5486.85,coaching institute fee,Education,Debit Card
2,2022-01-09,453.65,Netflix subscription,Entertainment,Net Banking
6,2022-01-09,1705.91,D-Mart grocery,Shopping,Cash
4,2022-01-09,1848.82,diagnostic lab test,Healthcare,Credit Card
10,2022-01-09,1592.43,train travel IRCTC,Travel,Credit Card
8,2022-01-09,937.33,Apollo pharmacy,Healthcare,UPI
13,2022-01-10,2314.49,coaching institute fee,Education,UPI
13,2022-01-10,179.0,Amazon Prime,Entertainment,Credit Card
10,2022-01-10,390.48,BWSSB water bill,Utilities,Net Banking
20,2022-01-10,999.57,Unacademy subscription,Education,Net Banking
13,2022-01-10,179.0,Amazon Prime,Entertainment,Net Banking
12,2022-01-10,2105.84,Ajio fashion,Shopping,Cash
20,2022-01-10,6070.3,coaching institute fee,Education,Credit Card
6,2022-01-10,421.56,haircut salon,Miscellaneous,Cash
17,2022-01-10,6591.1,Goibibo trip,Travel,UPI
15,2022-01-10,126.47,local restaurant bill,Food,Net Banking
17,2022-01-10,41117.73,fixed deposit SBI,Investments,Credit Card
3,2022-01-10,590.02,eye checkup,Healthcare,Cash
12,2022-01-10,1501.04,Myntra clothes,Shopping,Credit Card
11,2022-01-10,5324.45,Air India ticket,Travel,Net Banking
12,2022-01-10,13364.21,Air India ticket,Travel,Credit Card
15,2022-01-10,509.47,Manipal Hospital bill,Healthcare,Net Banking
19,2022-01-10,141.03,stationery Natraj,Education,Debit Card
